x,y
0.958,-0.067
0.949,-0.083
0.972,-0.089
0.957,-0.097
0.958,-0.104
0.956,-0.098
0.961,-0.099
0.96,-0.095
0.957,-0.108
0.948,-0.101
0.964,-0.11
0.956,-0.097
