x,y
0.954,-0.099
0.975,-0.09
0.954,-0.082
0.886,-0.066
1.063,-0.111
0.927,-0.072
0.99,-0.082
0.955,-0.09
0.97,-0.11
0.937,-0.089
0.907,-0.087
